term,estimate,std.error,statistic,p.value
term_frm240,-791.5766461535144,80.97356515362102,-9.77574156024568,1.4769006802806168e-22
region_west,-1371.0545887813607,29.70774097583433,-46.15142531021261,0
region_south,-800.724752829124,28.079094181819002,-28.516758683319175,6.738095818017654e-178
region_northeast,86.82215645026791,39.132087940518765,2.2186947086043203,0.026510529766482046
(Intercept),9525.55240913793,176.4987068936915,53.96953086390231,0
fico,-690.3395913047323,19.379373946844908,-35.62238869007036,1.3939469896480493e-275
fthb,220.50613909743421,36.2426818767442,6.084156240074665,1.1767983113586694e-9
one_unit,-896.8257878958958,62.99880231656572,-14.235600597442989,6.337482061340899e-46
cltv,293.2466519905072,10.069793186909456,29.121417545270184,2.166859903764371e-185
dti,-94.62214451661163,9.034073981722564,-10.473917383015458,1.1864895016767618e-25
one_borrower,628.3781698301124,21.590648916623934,29.104181734263964,3.5606819528528385e-185
occupancy_i,1942.2080393246863,35.96195127342051,54.00730412423902,0
occupancy_s,860.5745170185357,51.087596621498975,16.84507735594639,1.499301643423467e-63
property_co,45.6931187712676,34.44725250179566,1.3264662767773923,0.184689400263823
property_pu,-918.3546542809911,30.647301275408104,-29.965269895326603,4.197943758702921e-196
purpose_c,893.0740480180766,31.05254675889882,28.760090273824183,6.787357373433138e-181
purpose_n,464.0587996931385,31.9157285287511,14.540128679033405,7.857627295238167e-48
term_frm180,-608.5937513702914,468.44266077557,-1.2991851561142669,0.1938844504491226
term_frm240,-888.2182323978558,83.07244899108943,-10.692091580123375,1.1594086979161539e-26
region_west,-1389.3650551080657,29.715839592582533,-46.755032809332754,0
region_south,-820.1068289610864,28.15190210718126,-29.1314890851331,1.6208025624906532e-185
region_northeast,98.39046325981712,38.83789720484673,2.533362265749511,0.011299463587401016
(Intercept),9724.219429638097,176.69041819998907,55.03535239036917,0
fico,-704.4923804368166,19.395889536297354,-36.321736062604074,2.5037454759852475e-286
fthb,250.0059966555495,36.15109272792561,6.915586163248325,4.697036160906118e-12
one_unit,-1073.7655177859483,64.23721839551405,-16.715629110443142,1.3151906534675588e-62
cltv,309.7141273762812,10.058744637838245,30.79053485573353,7.213135064463468e-207
dti,-117.92974125740231,8.984730913795847,-13.125572973623942,2.6009946823476202e-39
one_borrower,634.0945223627676,21.6067551133157,29.34704998678821,3.1667194877632696e-188
occupancy_i,1875.4779363414882,36.20377274261861,51.80338385379654,0
occupancy_s,914.5406252363468,51.361734247087966,17.80587510609999,8.952744528983136e-71
property_co,70.0458829981169,34.51892543200278,2.029202303417498,0.042441268404667234
property_pu,-966.1115308146527,30.628995859403584,-31.54238340849954,6.358496161149688e-217
purpose_c,944.5082572472307,31.09464695356565,30.37526872897726,2.044124937675847e-201
purpose_n,554.0147033243009,32.096547559936134,17.26088147922297,1.253260660871929e-66
term_frm180,-588.2662133932366,368.86093955851084,-1.594818399848278,0.11075713054993187
term_frm240,-838.1307408559096,80.92240651341424,-10.357214731583339,4.037924124440717e-25
region_west,-1361.832929130488,29.691726231850534,-45.865737764671955,0
region_south,-820.937421392077,28.02081206269414,-29.29741720387334,1.3369290370427735e-187
